일련번호,이름,생년,생월,생일,성별,나이,거주시도,휴대폰,학력,혼인여부,주거형태,직업종류코드,직업종류,월소득액,고객등급코드,월 카드 이용 총 금액,신용카드 일시불 이용금액,신용카드 할부 이용금액 합,총 대출 금액,신용등급,개설 카드 개수
1,창인권,1985,11,20,남,34,경상북도,010-1129-7538,초졸,비혼,가족소유,2,전문직,49642993,0,70000,0,0,87350000,4,3
2,동용덕,1957,11,19,여,62,제주특별자치도,010-0532-5458,대졸,사별,가족소유,4,계열사직원,62415905,1,170000,4000,1000,28910000,4,5
3,권수철,1968,3,24,남,51,경기도,010-0205-0162,고졸,사별,월세,3,자영업,252678777,2,190000,3000,1000,28180000,7,6
4,설인권,1948,5,12,여,71,경상북도,010-1422-5652,고졸,사별,자가소유,0,NULL,10908264,0,200000,4000,1000,27710000,9,3
5,곽인성,1978,11,27,남,41,제주특별자치도,010-6986-7211,중졸,사별,전세,0,NULL,25793893,1,170000,3000,1000,27620000,2,5
6,심선용,1975,7,28,여,44,제주특별자치도,010-7325-2753,초대졸,재혼,월세,7,학생,13356559,0,190000,4000,2000,27020000,5,3
7,진기석,1995,6,26,여,24,광주광역시,010-0587-9716,박사,비혼,월세,0,NULL,88251962,1,180000,4000,2000,25800000,5,5
8,심미주,1951,2,13,남,68,대전광역시,010-8472-5634,대졸,재혼,가족소유,7,학생,159409755,2,170000,4000,2000,26480000,1,4
9,길윤성,1952,7,25,여,67,광주광역시,010-3143-3572,대졸,재혼,자가소유,0,NULL,162262700,3,190000,5000,2000,26910000,5,7
10,오민국,1971,2,18,여,48,대전광역시,010-0427-1497,대졸,사실혼,전세,8,무직,76289653,0,180000,4000,2000,27760000,8,9
11,화동인,1943,3,26,여,76,충청북도,010-3981-5335,초대졸,이혼,전세,3,자영업,156143593,1,180000,4000,2000,27970000,4,0
12,도예영,1939,4,11,여,80,대전광역시,010-2556-1008,박사,이혼,전세,8,무직,162342560,1,180000,4000,2000,27070000,1,2
13,현준탁,1973,3,3,남,46,경기도,010-5507-0318,고졸,사실혼,자가소유,1,회사원,34215751,0,190000,5000,2000,26990000,4,1
14,근지성,1946,8,6,남,73,서울특별시,010-4144-1128,박사,사실혼,월세,6,주부,97311607,1,200000,5000,2000,26930000,7,3
15,제준태,1967,7,2,여,52,광주광역시,010-6271-0899,중졸,기혼,가족소유,0,NULL,99856119,0,210000,5000,2000,28110000,5,7
16,준경민,1957,12,5,남,62,경기도,010-9232-2917,초대졸,재혼,자가소유,3,자영업,549473,2,220000,5000,2000,27460000,7,5
17,목정심,1979,5,11,여,40,전라남도,010-8925-5946,박사,사별,월세,8,무직,217115189,1,190000,5000,2000,26180000,6,6
18,옹성혁,1966,5,29,여,53,대구광역시,010-2932-7030,초졸,사별,가족소유,3,자영업,17825134,1,220000,5000,2000,33350000,9,4
19,용혜선,1952,10,19,남,67,대전광역시,010-1200-6963,석사,재혼,자가소유,6,주부,10438155,0,200000,5000,2000,34510000,1,3
20,태영일,1963,7,13,남,56,대구광역시,010-3147-3396,초졸,기혼,가족소유,8,무직,158612644,0,210000,5000,2000,28780000,5,9
21,교영일,1954,3,22,남,65,경기도,010-6861-5984,중졸,기혼,자가소유,8,무직,14785245,0,210000,6000,2000,26450000,5,0
22,화민국,1978,7,7,여,41,강원도,010-7812-6984,석사,기혼,자가소유,7,학생,110180598,0,210000,5000,2000,27120000,4,9
23,민아솔,1950,4,20,여,69,인천광역시,010-6118-9264,초졸,이혼,자가소유,0,NULL,96884618,1,200000,5000,2000,28800000,7,4
24,편민율,1945,3,17,여,74,대전광역시,010-4513-9128,초졸,재혼,월세,0,NULL,7073216,2,200000,5000,2000,29620000,6,8
25,류천희,1952,7,9,남,67,전라북도,010-0385-6808,초대졸,비혼,가족소유,6,주부,95241285,0,70000,0,0,4970000,7,3
26,옥민균,1986,7,28,남,33,제주특별자치도,010-3441-5321,중졸,비혼,가족소유,2,전문직,166519721,0,170000,4000,2000,14240000,2,5
27,초소라,1978,11,30,남,41,서울특별시,010-9363-4919,초대졸,기혼,전세,8,무직,242714952,0,200000,4000,2000,13700000,4,6
28,차대종,1952,2,26,남,67,경상북도,010-9294-7249,박사,기혼,월세,8,무직,9639751,0,210000,5000,2000,14480000,9,9
29,엽수빈,1955,1,16,여,64,서울특별시,010-2595-4057,초졸,비혼,월세,3,자영업,17622362,0,180000,5000,2000,14410000,5,5
30,삼경완,1963,9,2,남,56,경기도,010-2909-8631,석사,미혼,가족소유,0,NULL,299447128,0,200000,5000,2000,13020000,4,3
